event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2018yfjp,2018-12-11T11:23:25.890000Z,-0.201,124.531,67.3,5.35,mb,,Southern Molucca Sea,89,2018-12-11T11:24:19.730000Z,LUWI,GE,BHN,s,,,2018-12-11T11:23:55.160000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,24.57
gfz2018yajs,2018-12-08T17:45:54.290000Z,-3.577,101.51,56.8,5.2,mb,,"Southern Sumatra, Indonesia",72,2018-12-08T17:46:39.710000Z,MNAI,GE,BHE,s,,,2018-12-08T17:46:19.960000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,19.75
gfz2018umjj,2018-10-19T09:04:29.100000Z,-2.805,139.206,41.9,4.86,mb,,Near North Coast of Irian Jaya,37,2018-10-19T09:05:01.010000Z,GENI,GE,BHN,s,,,2018-10-19T09:04:46.360000Z,GENI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,14.65
gfz2018qtuf,2018-08-27T12:22:21.280000Z,-4.796,133.971,25.4,4.73,mb,,"Irian Jaya Region, Indonesia",23,2018-08-27T12:23:30.890000Z,FAKI,GE,BHN,s,,,2018-08-27T12:23:01.610000Z,FAKI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,29.28
gfz2018qikz,2018-08-21T07:13:07.450000Z,3.742,128.075,142.7,4.44,mb,,"North of Halmahera, Indonesia",23,2018-08-21T07:14:33.330000Z,TNTI,GE,BHN,s,,,,,,,,,,
gfz2018qhyw,2018-08-21T01:04:56.680000Z,-5.714,130.158,10.0,4.33,mb,,Banda Sea,19,2018-08-21T01:05:33.080000Z,BNDI,GE,BHN,s,,,2018-08-21T01:05:17.750000Z,BNDI,GE,BHZ,p,,,15.33
gfz2018qgyg,2018-08-20T11:38:47.140000Z,-8.45,116.923,10.0,4.42,mb,,"Sumbawa Region, Indonesia",20,2018-08-20T11:39:17.340000Z,PLAI,GE,BHN,s,,,2018-08-20T11:39:04.910000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,12.43
gfz2018pmjk,2018-08-09T05:25:32.400000Z,-8.352,116.18,15.1,5.86,Mw,,"Sumbawa Region, Indonesia",149,2018-08-09T05:26:23.160000Z,PLAI,GE,BHN,s,,,2018-08-09T05:26:01.180000Z,PLAI,GE,BHZ,p,,,21.98
gfz2018outm,2018-07-30T14:03:34.460000Z,-1.053,127.319,8.7,4.51,mb,,"Halmahera, Indonesia",28,2018-07-30T14:04:25.660000Z,SANI,GE,BHE,s,,,2018-07-30T14:04:02.910000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,22.75
gfz2018oacg,2018-07-19T06:38:01.690000Z,-8.826,111.167,66.9,4.41,mb,,"Java, Indonesia",17,2018-07-19T06:38:36.750000Z,UGM,GE,BHZ,s,,,2018-07-19T06:38:21.310000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,15.44
gfz2018mwlr,2018-07-03T01:19:02.380000Z,-9.693,115.255,59.6,4.79,mb,,"South of Bali, Indonesia",48,2018-07-03T01:19:46.650000Z,JAGI,GE,BHE,s,,,2018-07-03T01:19:28.160000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,18.49
